Concept,# Imgs,Type,Sort Method for Colabels,Rule w/ Max F1,Simplified Rule,F1 SCORE,PRECISION,RECALL,True Pos (tp),All Pos (tp+fp),All Targets (tp+fn),Implicit True Negative (tn),Implicit False Negative (fn),Implicit Unlabeled,Implicit Accuracy (tn/(tn+fn))
white,83601,attr,F1,(along) | (be) | (black) | (have) | (in),in | have | along | black | be,0.8821,0.7947,0.9911,82857,104258,83601,3075,744,104258,0.8051846033
along,79729,rel,F1,(be) | (black) | (have) | (in) | (white),white | in | have | black | be,0.8545,0.7561,0.9825,78330,103603,79729,3075,1399,103603,0.6873044256
bride,119,obj,F1,(bridalgown) | (groom),groom | bridalgown,0.8139,0.8393,0.7899,94,112,119,107940,25,112,0.9997684435
catcher,1195,obj,F1,(bat & mask) | (bat & umpire) | (batter & homeplate) | (batter & mask) | (batter & umpire) | (homeplate & mask) | (homeplate & umpire) | (mask & umpire),(mask | umpire | batter) & (mask | umpire | homeplate) & (mask | batter | homeplate | bat) & (umpire | batter | homeplate | bat),0.8067,0.8471,0.7699,920,1086,1195,105516,81,2480,0.9992329328
be,71280,rel,F1,(black) | (have) | (in) | (white),have | white | in | black,0.8016,0.682,0.9723,69306,101629,71280,4474,1974,101629,0.6938585608
black,66735,attr,F1,(along) | (have) | (white),have | along | white,0.7781,0.6443,0.9821,65542,101724,66735,5160,1193,101724,0.8122147017
racket,2380,obj,F1,(court) | (tenniscourt) | (tennisplayer) | (tennisracket),tennisracket | court | tennisplayer | tenniscourt,0.7688,0.6965,0.858,2042,2932,2380,104807,338,2932,0.9967853916
umpire,979,obj,F1,(bat & catcher) | (batter & catcher) | (batter & mask) | (catcher & homeplate) | (homeplate & mask),(mask | catcher) & (catcher | batter | homeplate) & (batter | homeplate | bat),0.7593,0.7154,0.809,792,1107,979,105516,86,2475,0.9991856215
ski,2754,obj,F1,(goggles & skier) | (goggles & skipole) | (goggles & snow) | (skier & skipole) | (skier & slope) | (skier & snow) | (skipole & slope) | (skipole & snow) | (slope & snow),(skipole | skier | snow) & (skipole | goggles | skier | slope) & (skipole | goggles | snow | slope) & (goggles | skier | snow | slope),0.7467,0.7555,0.7382,2033,2691,2754,102057,177,5843,0.9982686777
batter,1024,obj,F1,(bat & catcher) | (bat & homeplate) | (bat & umpire) | (catcher & homeplate) | (catcher & umpire),(bat | catcher) & (homeplate | bat | umpire) & (homeplate | umpire | catcher),0.7401,0.6696,0.8271,847,1265,1024,105731,32,2314,0.9996974367
snow,5236,obj,F1,(ski) | (skier) | (skipole) | (snowboard),skipole | ski | snowboard | skier,0.7353,0.8649,0.6394,3348,3871,5236,102318,1888,3871,0.9818820413
have,60554,rel,F1,(along & be) | (along & black) | (along & in) | (along & white) | (be & black) | (be & in) | (be & white) | (black & in) | (black & white),(along | black | be) & (white | in | along | black) & (white | in | along | be) & (white | in | black | be),0.7339,0.5932,0.9621,58257,98207,60554,3075,290,104712,0.9138187221
in,61107,rel,F1,(along & be) | (along & black) | (along & have) | (along & white) | (be & black) | (be & have) | (be & white) | (have & white),(white | along | be) & (have | along | be) & (white | have | along | black) & (white | have | black | be),0.7337,0.5978,0.9494,58018,97053,61107,3075,446,104556,0.8733314399
airplane,3315,obj,F1,(cockpit) | (propeller) | (track) | (wing),propeller | wing | cockpit | track,0.7228,0.6729,0.7807,2588,3846,3315,103504,727,3846,0.9930251077
bat,1885,obj,F1,(batter) | (catcher),batter | catcher,0.7192,0.83,0.6345,1196,1441,1885,105947,689,1441,0.9935387674
wave,3693,obj,F1,(beach & ocean) | (ocean & surfboard) | (ocean & surfer) | (ocean & water) | (surfboard & water) | (surfer & water),(water | ocean) & (surfboard | ocean | surfer) & (surfboard | water | beach | surfer),0.7157,0.6898,0.7436,2746,3981,3693,94104,76,13897,0.9991930346
toilet,2305,obj,F1,(bathroom) | (toiletseat) | (toilettissue),toilettissue | bathroom | toiletseat,0.7143,0.7018,0.7271,1676,2388,2305,105060,629,2388,0.9940485765
man,33026,obj,F1,(person) | (shirt) | (wear),wear | shirt | person,0.7058,0.6003,0.8564,28282,47113,33026,56220,4744,47113,0.9221835838
sink,2811,obj,F1,(bathroom) | (faucet),bathroom | faucet,0.7009,0.6799,0.7232,2033,2990,2811,104309,778,2990,0.9925966104
beak,1246,obj,F1,(bird & feather) | (bird & perch) | (bird & tailfeather) | (bird & wing) | (feather & perch) | (feather & tailfeather) | (feather & wing) | (tailfeather & wing),(tailfeather | bird | feather) & (bird | feather | wing) & (tailfeather | bird | perch | wing) & (tailfeather | feather | perch | wing),0.6939,0.6857,0.7022,875,1276,1246,102496,69,5512,0.9993272559
surfboard,3096,obj,F1,(surfer) | (wetsuit),wetsuit | surfer,0.6911,0.8913,0.5643,1747,1960,3096,104768,1349,1960,0.9872876165
train,4510,obj,F1,(path) | (traincar) | (traintracks),traincar | traintracks | path,0.6855,0.6435,0.7333,3307,5139,4510,101735,1203,5139,0.9883133537
wear,29600,rel,F1,(along & man) | (along & shirt) | (have & shirt),(man & along) | (have & shirt) | (along & shirt),0.6853,0.6249,0.7587,22458,35940,29600,10704,265,97108,0.9758410065
court,1968,obj,F1,(racket) | (tenniscourt) | (tennisplayer) | (tennisracket),tennisracket | tennisplayer | tenniscourt | racket,0.6844,0.5664,0.8643,1701,3003,1968,104807,267,3003,0.9974589337
faucet,1846,obj,F1,sink,sink,0.6841,0.5667,0.8629,1593,2811,1846,105013,253,2811,0.9975965649
tennisracket,1416,obj,F1,(tennisball) | (tenniscourt) | (tennisplayer),tennisball | tennisplayer | tenniscourt,0.6771,0.5911,0.7924,1122,1898,1416,105885,294,1898,0.9972310909
keyboard,1919,obj,F1,(computer & desk) | (computer & laptop) | (computer & monitor) | (computer & mouse) | (desk & laptop) | (desk & monitor) | (desk & mouse) | (laptop & monitor) | (laptop & mouse) | (monitor & mouse),(desk & monitor) | (desk & laptop) | (desk & computer) | (desk & mouse) | (monitor & laptop) | (monitor & computer) | (monitor & mouse) | (laptop & computer) | (laptop & mouse) | (computer & mouse),0.6674,0.5941,0.7613,1461,2459,1919,103458,156,4463,0.998494412
shirt,26381,obj,F1,(black & man) | (black & wear) | (blue & hair) | (blue & man) | (blue & wear) | (hair & man) | (hair & wear) | (man & wear),(blue | man | wear) & (man | wear | hair) & (blue | man | hair | black) & (blue | wear | hair | black),0.6655,0.5387,0.8705,22964,42631,26381,18753,342,88982,0.9820895522
wing,3224,obj,F1,(airplane & cockpit) | (airplane & engine) | (airplane & tail) | (airplane & track) | (cockpit & tail) | (cockpit & track) | (engine & tail),(track | airplane | tail) & (cockpit | engine | airplane) & (cockpit | airplane | tail) & (track | cockpit | engine | tail),0.6652,0.7455,0.6005,1936,2597,3224,96432,594,11051,0.9938779296
bathroom,2004,obj,F1,(bathtub & sink) | (bathtub & tile) | (bathtub & toilet) | (sink & toilet) | (tile & toilet),(toilet | bathtub) & (toilet | tile | sink) & (tile | bathtub | sink),0.6647,0.6687,0.6607,1324,1980,2004,101399,74,6604,0.999270742
blue,50973,attr,F1,(black) | (have) | (white),have | white | black,0.6602,0.5009,0.9681,49347,98520,50973,7931,1626,98520,0.8298629277
bed,2805,obj,F1,(headboard) | (quilt) | (sheet),headboard | sheet | quilt,0.6592,0.7815,0.5701,1599,2046,2805,104825,1206,2046,0.9886259679
giraffe,2503,obj,F1,(horn & mane) | (horn & neck) | (horn & patched) | (horn & topographicpoint) | (mane & patched) | (neck & patched) | (neck & topographicpoint) | (patched & topographicpoint),(topographicpoint | horn | patched) & (horn | neck | patched) & (topographicpoint | horn | neck | mane) & (topographicpoint | neck | patched | mane),0.6515,0.745,0.5789,1449,1945,2503,97424,426,10227,0.9956463975
path,4827,obj,F1,(train) | (traintracks),train | traintracks,0.65,0.6697,0.6314,3048,4551,4827,101747,1779,4551,0.982815911
water,12211,obj,F1,(boat) | (calm) | (ocean) | (surfboard) | (wave),boat | surfboard | ocean | wave | calm,0.6492,0.7895,0.5512,6731,8526,12211,94071,5480,8526,0.9449528382
